schema_version,user_id,match_type,activity,available_times,min_session_minutes,acceptable_locations,allow_off_campus,group_size_preference,self_level,acceptable_partner_levels,hard_restrictions,goal,intensity,communication_style,planning_style,supervision_preference,punctuality_importance,cancellation_tolerance,organization_role,interests,self_description,partner_expectation,preference_weights
1.0.0,U0044,sport,badminton,"[""tue_18_30"",""tue_19_00"",""tue_19_30"",""tue_20_00"",""fri_18_30"",""fri_19_00"",""fri_19_30"",""fri_20_00""]",60,"[""sports_field""]",false,either,novice,"[""novice"",""basic""]",[],competition,4,balanced,flexible,5,2,2,participant,"[""ball_sports"",""fitness"",""outdoors""]",我会按约定时间参加，希望一起逐步提升运动状态。,期待找到可以稳定参加、不会临时爽约的运动搭子。,"{""communication"":0.12765957,""goal"":0.25531915,""interest"":0.08510638,""level"":0.12765957,""planning"":0.12765957,""text"":0.0638298,""time"":0.21276596}"
1.0.0,U0045,interest,board_games,"[""fri_19_00"",""fri_19_30"",""fri_20_00"",""fri_20_30"",""fri_21_00"",""sun_10_00"",""sun_10_30"",""sun_11_00"",""sun_11_30"",""sun_12_00""]",60,"[""campus_common_area""]",false,small_group,novice,"[""novice"",""basic""]","[""no_last_minute_cancel""]",exploration,5,quiet,planned,4,5,5,organizer,"[""board_games"",""city_exploration"",""music"",""photography""]",我愿意认识兴趣相近的同学，一起完成具体活动计划。,希望彼此尊重选择，把共同兴趣真正转化为一次行动。,"{""communication"":0.12244898,""goal"":0.24489796,""interest"":0.08163265,""level"":0.18367347,""planning"":0.12244898,""text"":0.04081633,""time"":0.20408163}"
1.0.0,U0046,interest,board_games,"[""sun_10_00"",""sun_10_30"",""sun_11_00"",""sun_11_30"",""sun_12_00""]",60,"[""campus_common_area""]",false,small_group,novice,"[""novice"",""basic""]",[],experience,4,balanced,flexible,5,3,3,balanced,"[""board_games"",""city_exploration"",""food"",""photography""]",我愿意认识兴趣相近的同学，一起完成具体活动计划。,希望对方兴趣相近、沟通自然，并愿意一起确定活动安排。,"{""communication"":0.125,""goal"":0.16666667,""interest"":0.08333333,""level"":0.125,""planning"":0.125,""text"":0.0625,""time"":0.3125}"
1.0.0,U0047,study,higher_mathematics,"[""wed_19_00"",""wed_19_30"",""wed_20_00"",""wed_20_30"",""fri_19_00"",""fri_19_30"",""fri_20_00"",""fri_20_30""]",60,"[""pku_library"",""teaching_building""]",false,one_to_one,basic,"[""novice"",""basic"",""intermediate""]","[""no_off_campus""]",habit_building,4,interactive,spontaneous,1,4,2,organizer,"[""mathematics"",""research"",""reading""]",我想通过固定结伴提高执行力，也愿意适度交流问题。,期待对方认真守时，一起完成本周的具体学习目标。,"{""communication"":0.11764706,""goal"":0.23529412,""interest"":0.07843137,""level"":0.11764706,""planning"":0.11764706,""text"":0.03921568,""time"":0.29411765}"
1.0.0,U0048,study,higher_mathematics,"[""wed_19_00"",""wed_19_30"",""wed_20_00"",""wed_20_30"",""sat_14_00"",""sat_14_30"",""sat_15_00"",""sat_15_30"",""sat_16_00""]",90,"[""pku_library"",""online""]",false,one_to_one,basic,"[""novice"",""basic"",""intermediate""]","[""no_off_campus""]",exam_prep,5,quiet,spontaneous,1,4,2,balanced,"[""mathematics"",""research"",""reading""]",我想通过固定结伴提高执行力，也愿意适度交流问题。,期待对方认真守时，一起完成本周的具体学习目标。,"{""communication"":0.125,""goal"":0.16666667,""interest"":0.08333333,""level"":0.125,""planning"":0.125,""text"":0.0625,""time"":0.3125}"
1.0.0,U0049,sport,swimming,"[""wed_18_30"",""wed_19_00"",""wed_19_30"",""wed_20_00"",""fri_18_30"",""fri_19_00"",""fri_19_30"",""fri_20_00""]",60,"[""gymnasium""]",false,one_to_one,basic,"[""novice"",""basic"",""intermediate""]","[""no_off_campus""]",competition,5,balanced,planned,1,4,2,organizer,"[""fitness"",""outdoors"",""ball_sports""]",我希望保持规律运动，重视安全和彼此节奏合适。,期待找到可以稳定参加、不会临时爽约的运动搭子。,"{""communication"":0.12,""goal"":0.16,""interest"":0.08,""level"":0.18,""planning"":0.12,""text"":0.04,""time"":0.3}"
1.0.0,U0050,sport,swimming,"[""wed_18_30"",""wed_19_00"",""wed_19_30"",""wed_20_00""]",90,"[""gymnasium""]",false,one_to_one,basic,"[""novice"",""basic"",""intermediate""]",[],fitness,4,quiet,flexible,1,5,3,participant,"[""fitness"",""outdoors"",""running""]",我希望保持规律运动，重视安全和彼此节奏合适。,期待找到可以稳定参加、不会临时爽约的运动搭子。,"{""communication"":0.11764706,""goal"":0.23529412,""interest"":0.07843137,""level"":0.11764706,""planning"":0.11764706,""text"":0.03921568,""time"":0.29411765}"
1.0.0,U0051,study,linear_algebra,"[""thu_19_00"",""thu_19_30"",""thu_20_00"",""thu_20_30"",""sat_14_00"",""sat_14_30"",""sat_15_00"",""sat_15_30"",""sat_16_00""]",60,"[""teaching_building"",""online""]",false,small_group,intermediate,"[""basic"",""intermediate"",""advanced""]","[""no_last_minute_cancel""]",exam_prep,1,interactive,planned,1,2,3,organizer,"[""mathematics"",""ai"",""reading"",""languages""]",我习惯按计划完成本周学习任务，希望保持稳定节奏。,期待对方认真守时，一起完成本周的具体学习目标。,"{""communication"":0.12244898,""goal"":0.16326531,""interest"":0.12244898,""level"":0.12244898,""planning"":0.12244898,""text"":0.04081632,""time"":0.30612245}"
1.0.0,U0052,study,linear_algebra,"[""thu_19_00"",""thu_19_30"",""thu_20_00"",""thu_20_30""]",90,"[""teaching_building""]",false,small_group,intermediate,"[""basic"",""intermediate"",""advanced""]",[],skill_improvement,1,balanced,flexible,2,4,2,balanced,"[""mathematics"",""ai"",""research"",""languages""]",我想通过固定结伴提高执行力，也愿意适度交流问题。,期待对方认真守时，一起完成本周的具体学习目标。,"{""communication"":0.12765957,""goal"":0.25531915,""interest"":0.08510638,""level"":0.12765957,""planning"":0.12765957,""text"":0.0638298,""time"":0.21276596}"
1.0.0,U0053,sport,fitness,"[""thu_18_30"",""thu_19_00"",""thu_19_30"",""thu_20_00""]",90,"[""sports_field"",""gymnasium""]",false,small_group,intermediate,"[""basic"",""intermediate"",""advanced""]","[""no_off_campus""]",fitness,1,quiet,flexible,3,4,3,organizer,"[""fitness"",""outdoors"",""ball_sports""]",我想通过结伴提高运动积极性，同时享受活动过程。,希望一起安全运动，以持续行动为主而不是盲目竞争。,"{""communication"":0.07843137,""goal"":0.23529412,""interest"":0.11764706,""level"":0.11764706,""planning"":0.11764706,""text"":0.03921568,""time"":0.29411765}"
1.0.0,U0054,sport,fitness,"[""thu_18_30"",""thu_19_00"",""thu_19_30"",""thu_20_00""]",90,"[""sports_field""]",false,small_group,intermediate,"[""basic"",""intermediate"",""advanced""]","[""no_off_campus""]",habit_building,1,interactive,planned,2,4,3,balanced,"[""fitness"",""outdoors"",""ball_sports""]",我会按约定时间参加，希望一起逐步提升运动状态。,希望对方水平和强度接近，守时并尊重彼此运动节奏。,"{""communication"":0.08163265,""goal"":0.24489796,""interest"":0.12244898,""level"":0.12244898,""planning"":0.18367347,""text"":0.04081633,""time"":0.20408163}"
1.0.0,U0055,interest,live_music,"[""sat_10_00"",""sat_10_30"",""sat_11_00"",""sat_11_30"",""sat_12_00"",""sun_14_00"",""sun_14_30"",""sun_15_00"",""sun_15_30"",""sun_16_00"",""sun_16_30""]",90,"[""off_campus_haidian"",""campus_common_area""]",true,either,basic,"[""novice"",""basic"",""intermediate""]",[],experience,1,balanced,planned,2,4,1,organizer,"[""music"",""art"",""lectures""]",我重视活动体验，也希望提前沟通时间、地点和大致安排。,期待找到守时友好、预算和行动节奏比较合适的同学。,"{""communication"":0.12244898,""goal"":0.24489796,""interest"":0.08163265,""level"":0.12244898,""planning"":0.18367347,""text"":0.04081633,""time"":0.20408163}"
1.0.0,U0056,interest,live_music,"[""sat_14_00"",""sat_14_30"",""sat_15_00"",""sat_15_30"",""sat_16_00"",""sat_16_30"",""sun_14_00"",""sun_14_30"",""sun_15_00"",""sun_15_30"",""sun_16_00"",""sun_16_30""]",60,"[""off_campus_haidian""]",true,either,basic,"[""novice"",""basic"",""intermediate""]",[],social_connection,1,interactive,spontaneous,2,4,4,balanced,"[""music"",""art"",""city_exploration"",""board_games""]",我重视活动体验，也希望提前沟通时间、地点和大致安排。,希望对方兴趣相近、沟通自然，并愿意一起确定活动安排。,"{""communication"":0.08,""goal"":0.16,""interest"":0.12,""level"":0.18,""planning"":0.12,""text"":0.04,""time"":0.3}"
1.0.0,U0057,study,english_cet,"[""fri_19_00"",""fri_19_30"",""fri_20_00"",""fri_20_30""]",60,"[""online"",""pku_library""]",false,either,advanced,"[""intermediate"",""advanced""]",[],skill_improvement,2,quiet,flexible,1,3,1,organizer,"[""languages"",""reading"",""programming"",""mathematics""]",我习惯按计划完成本周学习任务，希望保持稳定节奏。,期待对方认真守时，一起完成本周的具体学习目标。,"{""communication"":0.125,""goal"":0.16666667,""interest"":0.08333333,""level"":0.125,""planning"":0.125,""text"":0.0625,""time"":0.3125}"
1.0.0,U0058,study,english_cet,"[""mon_19_00"",""mon_19_30"",""mon_20_00"",""mon_20_30"",""fri_19_00"",""fri_19_30"",""fri_20_00"",""fri_20_30""]",60,"[""online"",""teaching_building""]",false,either,advanced,"[""intermediate"",""advanced""]",[],mutual_accountability,2,quiet,planned,1,4,4,participant,"[""languages"",""reading""]",我想通过固定结伴提高执行力，也愿意适度交流问题。,期待对方认真守时，一起完成本周的具体学习目标。,"{""communication"":0.13043478,""goal"":0.17391304,""interest"":0.08695652,""level"":0.19565217,""planning"":0.13043478,""text"":0.06521741,""time"":0.2173913}"
1.0.0,U0059,sport,cycling,"[""fri_18_30"",""fri_19_00"",""fri_19_30"",""fri_20_00"",""sun_09_00"",""sun_09_30"",""sun_10_00"",""sun_10_30""]",60,"[""gymnasium"",""sports_field""]",false,either,advanced,"[""intermediate"",""advanced""]","[""no_off_campus""]",habit_building,1,quiet,planned,5,4,4,balanced,"[""outdoors"",""fitness"",""running"",""ball_sports""]",我会按约定时间参加，希望一起逐步提升运动状态。,希望一起安全运动，以持续行动为主而不是盲目竞争。,"{""communication"":0.08333333,""goal"":0.16666667,""interest"":0.125,""level"":0.125,""planning"":0.125,""text"":0.0625,""time"":0.3125}"
1.0.0,U0060,sport,cycling,"[""mon_18_30"",""mon_19_00"",""mon_19_30"",""mon_20_00"",""fri_18_30"",""fri_19_00"",""fri_19_30"",""fri_20_00""]",60,"[""gymnasium""]",false,either,advanced,"[""intermediate"",""advanced""]",[],skill_improvement,2,balanced,flexible,4,5,5,balanced,"[""outdoors"",""fitness"",""running"",""ball_sports""]",我会按约定时间参加，希望一起逐步提升运动状态。,期待找到可以稳定参加、不会临时爽约的运动搭子。,"{""communication"":0.07843137,""goal"":0.15686275,""interest"":0.07843137,""level"":0.17647059,""planning"":0.17647059,""text"":0.03921568,""time"":0.29411765}"
1.0.0,U0061,study,ielts_toefl,"[""mon_19_00"",""mon_19_30"",""mon_20_00"",""mon_20_30"",""sat_14_00"",""sat_14_30"",""sat_15_00"",""sat_15_30"",""sat_16_00""]",90,"[""pku_library"",""teaching_building""]",false,one_to_one,novice,"[""novice"",""basic""]","[""no_off_campus""]",mutual_accountability,3,balanced,flexible,4,5,1,organizer,"[""languages"",""reading"",""mathematics"",""research""]",我习惯按计划完成本周学习任务，希望保持稳定节奏。,希望找到愿意按计划行动并能交流学习进度的搭子。,"{""communication"":0.08,""goal"":0.24,""interest"":0.08,""level"":0.12,""planning"":0.12,""text"":0.06,""time"":0.3}"
1.0.0,U0062,study,ielts_toefl,"[""sat_14_00"",""sat_14_30"",""sat_15_00"",""sat_15_30"",""sat_16_00""]",90,"[""pku_library"",""online""]",false,one_to_one,novice,"[""novice"",""basic""]","[""no_last_minute_cancel""]",homework_project,2,interactive,planned,2,4,2,participant,"[""languages"",""reading"",""mathematics""]",我想通过固定结伴提高执行力，也愿意适度交流问题。,希望找到愿意按计划行动并能交流学习进度的搭子。,"{""communication"":0.12765957,""goal"":0.17021277,""interest"":0.12765957,""level"":0.19148936,""planning"":0.12765957,""text"":0.0425532,""time"":0.21276596}"
1.0.0,U0063,sport,basketball,"[""mon_18_30"",""mon_19_00"",""mon_19_30"",""mon_20_00"",""sat_09_00"",""sat_09_30"",""sat_10_00"",""sat_10_30""]",60,"[""sports_field""]",false,one_to_one,novice,"[""novice"",""basic""]","[""no_group_activity"",""no_last_minute_cancel""]",skill_improvement,3,interactive,planned,4,4,2,organizer,"[""ball_sports"",""fitness"",""outdoors""]",我希望保持规律运动，重视安全和彼此节奏合适。,期待找到可以稳定参加、不会临时爽约的运动搭子。,"{""communication"":0.08333333,""goal"":0.25,""interest"":0.08333333,""level"":0.125,""planning"":0.1875,""text"":0.06250001,""time"":0.20833333}"
1.0.0,U0064,sport,basketball,"[""tue_18_30"",""tue_19_00"",""tue_19_30"",""tue_20_00"",""sat_09_00"",""sat_09_30"",""sat_10_00"",""sat_10_30""]",90,"[""sports_field""]",false,one_to_one,novice,"[""novice"",""basic""]","[""no_off_campus"",""no_group_activity"",""no_last_minute_cancel""]",recreation,3,interactive,planned,4,3,3,balanced,"[""ball_sports"",""fitness"",""running""]",我会按约定时间参加，希望一起逐步提升运动状态。,希望一起安全运动，以持续行动为主而不是盲目竞争。,"{""communication"":0.08,""goal"":0.16,""interest"":0.12,""level"":0.18,""planning"":0.12,""text"":0.04,""time"":0.3}"
1.0.0,U0065,interest,food_exploration,"[""fri_19_00"",""fri_19_30"",""fri_20_00"",""fri_20_30"",""fri_21_00""]",60,"[""campus_common_area"",""off_campus_haidian""]",true,one_to_one,intermediate,"[""basic"",""intermediate"",""advanced""]",[],social_connection,1,quiet,flexible,3,4,2,organizer,"[""food"",""city_exploration"",""art"",""board_games""]",我重视活动体验，也希望提前沟通时间、地点和大致安排。,期待找到守时友好、预算和行动节奏比较合适的同学。,"{""communication"":0.08333333,""goal"":0.16666667,""interest"":0.125,""level"":0.1875,""planning"":0.1875,""text"":0.04166667,""time"":0.20833333}"
1.0.0,U0066,interest,food_exploration,"[""fri_19_00"",""fri_19_30"",""fri_20_00"",""fri_20_30"",""fri_21_00"",""sat_18_00"",""sat_18_30"",""sat_19_00"",""sat_19_30"",""sat_20_00""]",60,"[""campus_common_area""]",false,one_to_one,intermediate,"[""basic"",""intermediate"",""advanced""]","[""no_off_campus"",""no_group_activity"",""no_last_minute_cancel""]",skill_improvement,2,balanced,planned,2,5,1,participant,"[""food"",""city_exploration"",""board_games""]",我重视活动体验，也希望提前沟通时间、地点和大致安排。,期待找到守时友好、预算和行动节奏比较合适的同学。,"{""communication"":0.125,""goal"":0.16666667,""interest"":0.08333333,""level"":0.1875,""planning"":0.1875,""text"":0.04166667,""time"":0.20833333}"
1.0.0,U0067,study,algorithms,"[""tue_19_00"",""tue_19_30"",""tue_20_00"",""tue_20_30"",""sun_14_00"",""sun_14_30"",""sun_15_00"",""sun_15_30"",""sun_16_00""]",60,"[""teaching_building"",""online""]",false,one_to_one,basic,"[""novice"",""basic"",""intermediate""]","[""no_off_campus"",""no_group_activity""]",homework_project,4,quiet,flexible,3,5,2,organizer,"[""programming"",""mathematics"",""languages"",""research""]",我想通过固定结伴提高执行力，也愿意适度交流问题。,期待对方认真守时，一起完成本周的具体学习目标。,"{""communication"":0.08333333,""goal"":0.25,""interest"":0.08333333,""level"":0.1875,""planning"":0.125,""text"":0.06250001,""time"":0.20833333}"
1.0.0,U0068,study,algorithms,"[""wed_19_00"",""wed_19_30"",""wed_20_00"",""wed_20_30"",""sun_14_00"",""sun_14_30"",""sun_15_00"",""sun_15_30"",""sun_16_00""]",90,"[""teaching_building""]",false,one_to_one,basic,"[""novice"",""basic"",""intermediate""]","[""no_high_intensity""]",habit_building,3,quiet,planned,2,2,4,balanced,"[""programming"",""mathematics"",""languages"",""reading""]",我更关注实际学习效果，希望每次活动都能完成明确目标。,希望对方时间稳定、目标相近，可以互相提醒但不过度施压。,"{""communication"":0.125,""goal"":0.16666667,""interest"":0.08333333,""level"":0.125,""planning"":0.125,""text"":0.0625,""time"":0.3125}"
1.0.0,U0069,sport,table_tennis,"[""sun_09_00"",""sun_09_30"",""sun_10_00"",""sun_10_30""]",90,"[""gymnasium""]",false,one_to_one,basic,"[""novice"",""basic"",""intermediate""]",[],recreation,3,quiet,flexible,2,4,3,balanced,"[""ball_sports"",""fitness"",""outdoors""]",我希望保持规律运动，重视安全和彼此节奏合适。,期待找到可以稳定参加、不会临时爽约的运动搭子。,"{""communication"":0.13333333,""goal"":0.17777778,""interest"":0.13333333,""level"":0.13333333,""planning"":0.13333333,""text"":0.06666668,""time"":0.22222222}"
1.0.0,U0070,sport,table_tennis,"[""sun_09_00"",""sun_09_30"",""sun_10_00"",""sun_10_30""]",60,"[""gymnasium""]",false,one_to_one,basic,"[""novice"",""basic"",""intermediate""]","[""no_off_campus""]",competition,3,balanced,flexible,5,5,3,participant,"[""ball_sports"",""fitness"",""outdoors""]",我会按约定时间参加，希望一起逐步提升运动状态。,希望一起安全运动，以持续行动为主而不是盲目竞争。,"{""communication"":0.13333333,""goal"":0.17777778,""interest"":0.13333333,""level"":0.13333333,""planning"":0.13333333,""text"":0.06666668,""time"":0.22222222}"
1.0.0,U0071,study,course_project,"[""mon_19_00"",""mon_19_30"",""mon_20_00"",""mon_20_30"",""wed_19_00"",""wed_19_30"",""wed_20_00"",""wed_20_30""]",60,"[""online""]",false,either,intermediate,"[""basic"",""intermediate"",""advanced""]",[],habit_building,4,quiet,spontaneous,3,4,2,balanced,"[""programming"",""research"",""languages""]",我更关注实际学习效果，希望每次活动都能完成明确目标。,期待对方认真守时，一起完成本周的具体学习目标。,"{""communication"":0.08333333,""goal"":0.16666667,""interest"":0.125,""level"":0.125,""planning"":0.125,""text"":0.0625,""time"":0.3125}"
1.0.0,U0072,study,course_project,"[""mon_19_00"",""mon_19_30"",""mon_20_00"",""mon_20_30"",""thu_19_00"",""thu_19_30"",""thu_20_00"",""thu_20_30""]",60,"[""online""]",false,either,intermediate,"[""basic"",""intermediate"",""advanced""]",[],exam_prep,5,balanced,planned,3,5,4,participant,"[""programming"",""research"",""languages""]",我更关注实际学习效果，希望每次活动都能完成明确目标。,希望对方时间稳定、目标相近，可以互相提醒但不过度施压。,"{""communication"":0.08510638,""goal"":0.25531915,""interest"":0.12765957,""level"":0.12765957,""planning"":0.12765957,""text"":0.0638298,""time"":0.21276596}"
1.0.0,U0073,sport,running,"[""mon_18_30"",""mon_19_00"",""mon_19_30"",""mon_20_00"",""wed_18_30"",""wed_19_00"",""wed_19_30"",""wed_20_00""]",60,"[""sports_field"",""gymnasium""]",false,either,intermediate,"[""basic"",""intermediate"",""advanced""]","[""no_high_intensity""]",competition,4,interactive,flexible,2,4,2,organizer,"[""running"",""outdoors"",""ball_sports"",""fitness""]",我会按约定时间参加，希望一起逐步提升运动状态。,希望对方水平和强度接近，守时并尊重彼此运动节奏。,"{""communication"":0.13043478,""goal"":0.17391304,""interest"":0.08695652,""level"":0.13043478,""planning"":0.19565217,""text"":0.06521741,""time"":0.2173913}"
1.0.0,U0074,sport,running,"[""mon_18_30"",""mon_19_00"",""mon_19_30"",""mon_20_00"",""thu_18_30"",""thu_19_00"",""thu_19_30"",""thu_20_00""]",60,"[""sports_field""]",false,either,intermediate,"[""basic"",""intermediate"",""advanced""]",[],fitness,5,quiet,planned,5,4,3,balanced,"[""running"",""outdoors"",""fitness""]",我会按约定时间参加，希望一起逐步提升运动状态。,希望一起安全运动，以持续行动为主而不是盲目竞争。,"{""communication"":0.07692308,""goal"":0.23076923,""interest"":0.07692308,""level"":0.11538462,""planning"":0.17307692,""text"":0.03846153,""time"":0.28846154}"
1.0.0,U0075,interest,city_walk,"[""sat_10_00"",""sat_10_30"",""sat_11_00"",""sat_11_30"",""sat_12_00""]",90,"[""off_campus_haidian"",""campus_common_area""]",true,one_to_one,advanced,"[""intermediate"",""advanced""]",[],skill_improvement,3,quiet,flexible,2,4,3,balanced,"[""city_exploration"",""photography"",""lectures"",""music""]",我愿意认识兴趣相近的同学，一起完成具体活动计划。,期待找到守时友好、预算和行动节奏比较合适的同学。,"{""communication"":0.07843137,""goal"":0.15686275,""interest"":0.07843137,""level"":0.17647059,""planning"":0.17647059,""text"":0.03921568,""time"":0.29411765}"
1.0.0,U0076,interest,city_walk,"[""sat_10_00"",""sat_10_30"",""sat_11_00"",""sat_11_30"",""sat_12_00"",""sun_10_00"",""sun_10_30"",""sun_11_00"",""sun_11_30"",""sun_12_00""]",60,"[""off_campus_haidian""]",true,one_to_one,advanced,"[""intermediate"",""advanced""]",[],relaxation,3,quiet,planned,1,3,3,participant,"[""city_exploration"",""photography""]",我重视活动体验，也希望提前沟通时间、地点和大致安排。,希望彼此尊重选择，把共同兴趣真正转化为一次行动。,"{""communication"":0.13043478,""goal"":0.17391304,""interest"":0.08695652,""level"":0.19565217,""planning"":0.13043478,""text"":0.06521741,""time"":0.2173913}"
1.0.0,U0077,study,general_study,"[""tue_19_00"",""tue_19_30"",""tue_20_00"",""tue_20_30""]",90,"[""pku_library"",""teaching_building""]",false,one_to_one,advanced,"[""intermediate"",""advanced""]","[""no_off_campus"",""no_last_minute_cancel""]",exam_prep,1,interactive,planned,5,4,4,organizer,"[""reading"",""research"",""programming""]",我想通过固定结伴提高执行力，也愿意适度交流问题。,希望找到愿意按计划行动并能交流学习进度的搭子。,"{""communication"":0.13043478,""goal"":0.17391304,""interest"":0.08695652,""level"":0.13043478,""planning"":0.19565217,""text"":0.06521741,""time"":0.2173913}"
1.0.0,U0078,study,general_study,"[""tue_19_00"",""tue_19_30"",""tue_20_00"",""tue_20_30"",""fri_19_00"",""fri_19_30"",""fri_20_00"",""fri_20_30""]",60,"[""pku_library"",""online""]",false,one_to_one,advanced,"[""intermediate"",""advanced""]",[],skill_improvement,1,quiet,flexible,3,4,1,participant,"[""reading"",""research""]",我更关注实际学习效果，希望每次活动都能完成明确目标。,期待对方认真守时，一起完成本周的具体学习目标。,"{""communication"":0.08,""goal"":0.16,""interest"":0.12,""level"":0.12,""planning"":0.18,""text"":0.04,""time"":0.3}"
1.0.0,U0079,sport,badminton,"[""tue_18_30"",""tue_19_00"",""tue_19_30"",""tue_20_00""]",90,"[""gymnasium"",""sports_field""]",false,one_to_one,advanced,"[""intermediate"",""advanced""]","[""no_off_campus""]",fitness,1,balanced,flexible,2,4,1,organizer,"[""ball_sports"",""fitness"",""outdoors""]",我会按约定时间参加，希望一起逐步提升运动状态。,希望一起安全运动，以持续行动为主而不是盲目竞争。,"{""communication"":0.13333333,""goal"":0.17777778,""interest"":0.13333333,""level"":0.13333333,""planning"":0.13333333,""text"":0.06666668,""time"":0.22222222}"
1.0.0,U0080,sport,badminton,"[""tue_18_30"",""tue_19_00"",""tue_19_30"",""tue_20_00"",""fri_18_30"",""fri_19_00"",""fri_19_30"",""fri_20_00""]",90,"[""gymnasium""]",false,one_to_one,advanced,"[""intermediate"",""advanced""]","[""no_off_campus"",""no_high_intensity""]",habit_building,1,balanced,planned,3,4,2,participant,"[""ball_sports"",""fitness"",""outdoors""]",我想通过结伴提高运动积极性，同时享受活动过程。,希望一起安全运动，以持续行动为主而不是盲目竞争。,"{""communication"":0.12244898,""goal"":0.24489796,""interest"":0.08163265,""level"":0.18367347,""planning"":0.12244898,""text"":0.04081633,""time"":0.20408163}"
1.0.0,U0081,study,python,"[""wed_19_00"",""wed_19_30"",""wed_20_00"",""wed_20_30""]",60,"[""teaching_building""]",false,small_group,novice,"[""novice"",""basic""]",[],skill_improvement,2,balanced,spontaneous,2,4,2,balanced,"[""programming"",""ai"",""research""]",我更关注实际学习效果，希望每次活动都能完成明确目标。,希望对方时间稳定、目标相近，可以互相提醒但不过度施压。,"{""communication"":0.08,""goal"":0.16,""interest"":0.12,""level"":0.18,""planning"":0.12,""text"":0.04,""time"":0.3}"
1.0.0,U0082,study,python,"[""wed_19_00"",""wed_19_30"",""wed_20_00"",""wed_20_30""]",60,"[""teaching_building"",""pku_library""]",false,small_group,novice,"[""novice"",""basic""]","[""no_high_intensity""]",mutual_accountability,1,interactive,planned,5,5,3,balanced,"[""programming"",""ai"",""reading"",""mathematics""]",我习惯按计划完成本周学习任务，希望保持稳定节奏。,期待对方认真守时，一起完成本周的具体学习目标。,"{""communication"":0.08333333,""goal"":0.16666667,""interest"":0.125,""level"":0.125,""planning"":0.125,""text"":0.0625,""time"":0.3125}"
1.0.0,U0083,sport,swimming,"[""wed_18_30"",""wed_19_00"",""wed_19_30"",""wed_20_00"",""fri_18_30"",""fri_19_00"",""fri_19_30"",""fri_20_00""]",60,"[""sports_field"",""gymnasium""]",false,small_group,novice,"[""novice"",""basic""]","[""no_high_intensity""]",habit_building,1,interactive,planned,5,3,2,organizer,"[""fitness"",""outdoors"",""ball_sports""]",我希望保持规律运动，重视安全和彼此节奏合适。,希望对方水平和强度接近，守时并尊重彼此运动节奏。,"{""communication"":0.13043478,""goal"":0.17391304,""interest"":0.08695652,""level"":0.19565217,""planning"":0.13043478,""text"":0.06521741,""time"":0.2173913}"
1.0.0,U0084,sport,swimming,"[""wed_18_30"",""wed_19_00"",""wed_19_30"",""wed_20_00""]",60,"[""sports_field""]",false,small_group,novice,"[""novice"",""basic""]","[""no_last_minute_cancel""]",skill_improvement,2,quiet,planned,4,4,2,participant,"[""fitness"",""outdoors"",""running""]",我会按约定时间参加，希望一起逐步提升运动状态。,期待找到可以稳定参加、不会临时爽约的运动搭子。,"{""communication"":0.125,""goal"":0.25,""interest"":0.125,""level"":0.125,""planning"":0.125,""text"":0.04166667,""time"":0.20833333}"
1.0.0,U0085,interest,movie,"[""sat_14_00"",""sat_14_30"",""sat_15_00"",""sat_15_30"",""sat_16_00"",""sat_16_30"",""sun_10_00"",""sun_10_30"",""sun_11_00"",""sun_11_30"",""sun_12_00""]",60,"[""campus_common_area"",""off_campus_haidian""]",true,either,novice,"[""novice"",""basic""]",[],relaxation,4,quiet,flexible,2,4,3,organizer,"[""movies"",""art"",""board_games"",""music""]",我重视活动体验，也希望提前沟通时间、地点和大致安排。,希望对方兴趣相近、沟通自然，并愿意一起确定活动安排。,"{""communication"":0.07843137,""goal"":0.15686275,""interest"":0.07843137,""level"":0.17647059,""planning"":0.17647059,""text"":0.03921568,""time"":0.29411765}"
1.0.0,U0086,interest,movie,"[""sat_14_00"",""sat_14_30"",""sat_15_00"",""sat_15_30"",""sat_16_00"",""sat_16_30"",""sun_14_00"",""sun_14_30"",""sun_15_00"",""sun_15_30"",""sun_16_00"",""sun_16_30""]",60,"[""campus_common_area""]",false,either,novice,"[""novice"",""basic""]",[],exploration,4,balanced,planned,4,3,5,participant,"[""movies"",""art"",""board_games""]",我愿意认识兴趣相近的同学，一起完成具体活动计划。,希望彼此尊重选择，把共同兴趣真正转化为一次行动。,"{""communication"":0.08333333,""goal"":0.25,""interest"":0.08333333,""level"":0.125,""planning"":0.1875,""text"":0.06250001,""time"":0.20833333}"
1.0.0,U0087,study,higher_mathematics,"[""thu_19_00"",""thu_19_30"",""thu_20_00"",""thu_20_30"",""sat_14_00"",""sat_14_30"",""sat_15_00"",""sat_15_30"",""sat_16_00""]",60,"[""online""]",false,either,basic,"[""novice"",""basic"",""intermediate""]","[""no_high_intensity""]",mutual_accountability,2,balanced,spontaneous,4,4,3,organizer,"[""mathematics"",""research"",""programming""]",我想通过固定结伴提高执行力，也愿意适度交流问题。,希望找到愿意按计划行动并能交流学习进度的搭子。,"{""communication"":0.08333333,""goal"":0.25,""interest"":0.08333333,""level"":0.1875,""planning"":0.125,""text"":0.06250001,""time"":0.20833333}"
